Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Semantic Change Sets In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count;
gmfgen_1.139.ecore;1323;5457;gmfgen_1.140.ecore;1334;5535;-1;0,905;12,700;0;rr:deleteEOperationInEClass;0,188;rr:deleteEReferenceInEClass;0,081;0,015;0;rr:deleteEOperationInEClass;0,015;rr:createBidirectionalReference;0,000;1069;rr:unsetEReferenceRefEOppositeToEReference;2264;rr:createEAnnotationInEModelElement;1383,167;3574;rr:unsetEReferenceRefEOppositeToEReference;13394;rr:createEAnnotationInEModelElement;7436,865;4032;17009;8;0;17;0;0;899;25;21;4;6;156;0;27;25;137;136;73;137;
gmfgen_1.139.ecore;1323;5457;gmfgen_1.140.ecore;1334;5535;-1;1,030;15,252;0;rr:setEReferenceDefaultValueLiteral;0,375;rr:addGeneralization;0,098;0,031;0;rr:deleteEOperationInEClass;0,016;rr:deleteEClassInEPackage;0,000;1069;rr:unsetEReferenceRefEOppositeToEReference;2264;rr:createEAnnotationInEModelElement;1383,167;3574;rr:unsetEReferenceRefEOppositeToEReference;13394;rr:createEAnnotationInEModelElement;7436,865;4032;17009;8;0;17;0;0;899;25;21;4;6;156;0;27;25;137;136;73;137;
gmfgen_1.140.ecore;1334;5535;gmfgen_1.141.ecore;1338;5611;-1;0,812;12,260;0;rr:removeFromEClassRefESuperTypesToEClass;0,187;rr:setEPackageName;0,079;0,031;0;rr:setEReferenceDefaultValueLiteral;0,031;rr:extractSubEClass;0,000;1078;rr:unsetEReferenceRefEOppositeToEReference;2272;rr:createEAnnotationInEModelElement;1393,660;3585;rr:unsetEReferenceRefEOppositeToEReference;13521;rr:createEAnnotationInEModelElement;7509,891;4038;17131;2;0;6;0;0;907;8;8;0;5;156;0;27;25;137;136;73;137;
gmfgen_1.141.ecore;1338;5611;gmfgen_1.142.ecore;1357;5680;-1;1,015;13,213;0;rr:removeFromEClassRefESuperTypesToEClass;0,203;rr:setEClassName;0,085;0,389;0;rr:deleteEOperationInEClass;0,203;rr:pull_up_EOperation;0,002;1086;rr:unsetEReferenceRefEOppositeToEReference;2297;rr:createEAnnotationInEModelElement;1404,436;3682;rr:unsetEReferenceRefEOppositeToEReference;13764;rr:moveEAnnotationRefEAnnotationsToEModelElement;7656,923;4129;17522;14;0;38;11;11;909;74;62;12;42;156;0;27;25;137;136;73;137;
gmfgen_1.142.ecore;1357;5680;gmfgen_1.143.ecore;1406;5889;-1;1,045;12,757;0;rr:setEClassAbstractNOT;0,187;rr:addGeneralization;0,082;0,109;0;rr:setEReferenceDefaultValueLiteral;0,047;rr:extractEClass;0,001;1106;rr:unsetEReferenceRefEOppositeToEReference;2334;rr:createEAnnotationInEModelElement;1438,750;3788;rr:unsetEReferenceRefEOppositeToEReference;14025;rr:createEAnnotationInEModelElement;7852,109;4244;17946;28;0;79;0;0;923;107;107;0;40;156;0;27;25;137;136;73;137;
gmfgen_1.143.ecore;1406;5889;gmfgen_1.144.ecore;1406;5889;-1;0,781;12,595;0;rr:moveEStringToStringMapEntryRefDetailsToEAnnotation;0,203;rr:remove_empty_sub_EClass;0,081;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1140;rr:unsetEReferenceRefEOppositeToEReference;2390;rr:createEAnnotationInEModelElement;1467,103;3792;rr:unsetEReferenceRefEOppositeToEReference;14170;rr:createEAnnotationInEModelElement;7874,756;4215;17871;0;0;0;0;1;951;1;1;0;2;156;0;27;25;137;136;73;137;
gmfgen_1.144.ecore;1406;5889;gmfgen_1.145.ecore;1408;5899;-1;0,828;12,168;0;rr:setEReferenceVolatile;0,172;rr:setEAttributeID;0,078;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1140;rr:unsetEReferenceRefEOppositeToEReference;2391;rr:createEAnnotationInEModelElement;1468,577;3795;rr:unsetEReferenceRefEOppositeToEReference;14181;rr:createEAnnotationInEModelElement;7885,417;4220;17891;1;0;3;0;0;951;4;4;0;1;156;0;27;25;137;136;73;137;
gmfgen_1.145.ecore;1408;5899;gmfgen_1.146.ecore;1412;5912;-1;0,872;12,195;0;rr:setEAttributeUnique;0,172;rr:deleteBidirectionalReference;0,078;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;1141;rr:unsetEReferenceRefEOppositeToEReference;2395;rr:createEAnnotationInEModelElement;1470,692;3803;rr:unsetEReferenceRefEOppositeToEReference;14206;rr:createEAnnotationInEModelElement;7900,397;4232;17935;2;0;6;0;1;952;9;9;0;5;156;0;27;25;137;136;73;137;
gmfgen_1.146.ecore;1412;5912;gmfgen_1.147.ecore;1457;6118;-1;1,170;12,818;0;rr:changeEParameterType;0,202;rr:moveEEnumRefEClassifiersToEPackage;0,082;0,718;0;rr:deleteEOperationInEClass;0,219;rr:create_referenced_EClass;0,005;1149;rr:unsetEReferenceRefEOppositeToEReference;2434;rr:createEAnnotationInEModelElement;1492,942;3932;rr:unsetEReferenceRefEOppositeToEReference;14515;rr:createEAnnotationInEModelElement;8109,365;4376;18482;27;0;75;0;0;954;102;96;6;53;156;0;27;25;137;136;73;137;
gmfgen_1.147.ecore;1457;6118;gmfgen_1.148.ecore;1455;6108;-1;1,015;12,861;0;rr:setEEnumLiteralLiteral;0,188;rr:remove_empty_referenced_EClass;0,082;0;0;rr:setEReferenceDefaultValueLiteral;0;rr:setEReferenceDefaultValueLiteral;0;1180;rr:unsetEReferenceRefEOppositeToEReference;2472;rr:createEAnnotationInEModelElement;1520,744;3938;rr:unsetEReferenceRefEOppositeToEReference;14626;rr:createEAnnotationInEModelElement;8141,481;4347;18416;0;1;0;3;0;980;4;0;4;0;156;0;27;25;137;136;73;137;
