Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Semantic Change Sets In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count;
gmfgen_1.139.ecore;1323;5457;gmfgen_1.140.ecore;1334;5535;0;0,078;0,078;0;rr:createEAnnotationInEModelElement;0,016;rr:createEStringToStringMapEntryInEAnnotation;0,009;0;0;rr:createEAttributeAsiDInEClass;0;rr:createEAttributeAsiDInEClass;0;1259;rr:createEReferenceInEClass;2264;rr:createEAnnotationInEModelElement;1616,111;4410;rr:createEStringToStringMapEntryInEAnnotation;13394;rr:createEAnnotationInEModelElement;10493,111;4032;17009;8;0;17;0;0;899;25;0;25;0;9;147;9;0;22;0;0;1;
gmfgen_1.139.ecore;1323;5457;gmfgen_1.140.ecore;1334;5535;0;0,078;0,062;0;rr:createEAnnotationInEModelElement;0,016;rr:createEAttributeAsiDInEClass;0,007;0;0;rr:createEAttributeAsiDInEClass;0;rr:createEAttributeAsiDInEClass;0;1259;rr:createEReferenceInEClass;2264;rr:createEAnnotationInEModelElement;1616,111;4410;rr:createEStringToStringMapEntryInEAnnotation;13394;rr:createEAnnotationInEModelElement;10493,111;4032;17009;8;0;17;0;0;899;25;0;25;0;9;147;9;0;22;0;0;1;
gmfgen_1.140.ecore;1334;5535;gmfgen_1.141.ecore;1338;5611;0;0,094;0,062;0;rr:addGeneralization;0,016;rr:create_super_EClass;0,006;0,032;0;rr:addGeneralization;0,032;rr:extractSubEClass;0,003;1259;rr:addGeneralization;1837;rr:extractSubEClass;1481,200;10027;rr:addGeneralization;12589;rr:extractSubEClass;11085,200;4038;17131;2;0;6;0;0;907;8;0;8;0;10;146;8;0;24;0;0;2;
gmfgen_1.141.ecore;1338;5611;gmfgen_1.142.ecore;1357;5680;0;0,780;0,310;0;rr:createEStringToStringMapEntryInEAnnotation;0,016;rr:changeEClassToInterface;0,005;0,329;0;rr:deleteEOperationInEClass;0,156;rr:pull_up_EOperation;0,006;1086;rr:unsetEReferenceRefEOppositeToEReference;2297;rr:createEAnnotationInEModelElement;1471;3682;rr:unsetEReferenceRefEOppositeToEReference;13764;rr:moveEAnnotationRefEAnnotationsToEModelElement;9760,153;4129;17522;14;0;38;11;11;909;74;0;74;0;59;97;17;6;93;64;14;61;
gmfgen_1.142.ecore;1357;5680;gmfgen_1.143.ecore;1406;5889;0;0,186;0,123;0;rr:createEEnumLiteralInEEnum;0,016;rr:createEClassInEPackage;0,008;0,063;0;rr:createEEnumLiteralInEEnum;0,047;rr:extractEClass;0,004;1173;rr:createEEnumLiteralInEEnum;1958;rr:extractEClass;1469,267;3923;rr:createEEnumLiteralInEEnum;13266;rr:extractEClass;10771,600;4244;17946;28;0;79;0;0;923;107;0;107;0;15;141;17;0;53;0;0;1;
gmfgen_1.143.ecore;1406;5889;gmfgen_1.144.ecore;1406;5889;0;0,031;0,031;0;rr:setEAttributeLowerBound;0,016;rr:setEReferenceLowerBound;0,005;0;0;rr:setEParameterLowerBound;0;rr:setEParameterLowerBound;0;1316;rr:generalizeEAttributeLowerBound;1546;rr:setEOperationLowerBound;1419;4393;rr:generalizeEAttributeLowerBound;5331;rr:generalizeEReferenceLowerBound;4840;4215;17871;0;0;0;0;1;951;1;0;1;0;6;150;0;0;0;0;6;6;
gmfgen_1.144.ecore;1406;5889;gmfgen_1.145.ecore;1408;5899;0;0,016;0,016;0;rr:setEOperationRefETypeToEClassifier;0,016;rr:createEAttributeAsiDInEClass;0,005;0;0;rr:createEAttributeAsiDInEClass;0;rr:createEAttributeAsiDInEClass;0;1584;rr:setEOperationRefETypeToEClassifier;1722;rr:createEAttributeAsiDInEClass;1676;11378;rr:setEOperationRefETypeToEClassifier;12161;rr:createEAttributeAsiDInEClass;11900;4220;17891;1;0;3;0;0;951;4;0;4;0;3;153;2;0;7;0;0;0;
gmfgen_1.145.ecore;1408;5899;gmfgen_1.146.ecore;1412;5912;0;0,109;0,109;0;rr:setEParameterName;0,016;rr:setEEnumName;0,005;0;0;rr:setEEnumName;0;rr:setEEnumName;0;1319;rr:setEAttributeName;1605;rr:createEParameterInEOperation;1430,773;4412;rr:setEAttributeName;11455;rr:createEParameterInEOperation;6221,182;4232;17935;2;0;6;0;1;952;9;0;9;0;22;134;2;0;6;0;19;19;
gmfgen_1.146.ecore;1412;5912;gmfgen_1.147.ecore;1457;6118;0;0,717;0,156;0;rr:createEStringToStringMapEntryInEAnnotation;0,016;rr:createEClassInEPackage;0,008;0,561;0;rr:createEStringToStringMapEntryInEAnnotation;0,156;rr:extractEClass;0,030;1349;rr:addGeneralization;2434;rr:createEAnnotationInEModelElement;1640,421;4800;rr:createEStringToStringMapEntryInEAnnotation;14515;rr:createEAnnotationInEModelElement;11534,263;4376;18482;27;0;75;0;0;954;102;0;102;0;19;137;20;0;62;0;0;3;
gmfgen_1.147.ecore;1457;6118;gmfgen_1.148.ecore;1455;6108;0;0,031;0,031;0;rr:deleteEAttributeInEClass;0,016;rr:unsetEOperationRefETypeToEClassifier;0,010;0;0;rr:deleteEAttributeInEClass;0;rr:deleteEAttributeInEClass;0;1389;rr:deleteEReferenceInEClass;1788;rr:deleteEAttributeInEClass;1607;10878;rr:deleteEReferenceInEClass;12553;rr:deleteEAttributeInEClass;11722,667;4347;18416;0;1;0;3;0;980;4;0;4;0;3;153;0;2;0;7;0;0;
