Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Semantic Change Sets In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count;
gmfgen_1.139.ecore;1323;5457;gmfgen_1.140.ecore;1334;5535;-1;0,140;0,015;0;rr:deleteEOperationInEClass;0,015;rr:setEReferenceUnique;0,000;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;4032;rr:setEReferenceUnique;4032;rr:setEReferenceUnique;4032;17009;rr:setEReferenceUnique;17009;rr:setEReferenceUnique;17009;4032;17009;8;0;17;0;0;899;25;0;25;0;156;0;27;25;137;136;73;137;
gmfgen_1.139.ecore;1323;5457;gmfgen_1.140.ecore;1334;5535;-1;0,156;0,016;0;rr:deleteEOperationInEClass;0,016;rr:setEReferenceUnique;0,000;0,015;0;rr:deleteEOperationInEClass;0,015;rr:create_referenced_EClass;0,000;4032;rr:setEReferenceUnique;4032;rr:setEReferenceUnique;4032;17009;rr:setEReferenceUnique;17009;rr:setEReferenceUnique;17009;4032;17009;8;0;17;0;0;899;25;0;25;0;156;0;27;25;137;136;73;137;
gmfgen_1.140.ecore;1334;5535;gmfgen_1.141.ecore;1338;5611;-1;0,188;0,016;0;rr:deleteEOperationInEClass;0,016;rr:setEReferenceUnique;0,000;0,047;0;rr:deleteEOperationInEClass;0,031;rr:extractSubEClass;0,000;4038;rr:setEReferenceUnique;4038;rr:setEReferenceUnique;4038;17131;rr:setEReferenceUnique;17131;rr:setEReferenceUnique;17131;4038;17131;2;0;6;0;0;907;8;0;8;0;156;0;27;25;137;136;73;137;
gmfgen_1.141.ecore;1338;5611;gmfgen_1.142.ecore;1357;5680;-1;0,657;0,016;0;rr:deleteEOperationInEClass;0,016;rr:setEReferenceUnique;0,000;0,515;0;rr:deleteEOperationInEClass;0,188;rr:pull_up_EOperation;0,003;4129;rr:setEReferenceUnique;4129;rr:setEReferenceUnique;4129;17522;rr:setEReferenceUnique;17522;rr:setEReferenceUnique;17522;4129;17522;14;0;38;11;11;909;74;0;74;0;156;0;27;25;137;136;73;137;
gmfgen_1.142.ecore;1357;5680;gmfgen_1.143.ecore;1406;5889;-1;3,166;0,016;0;rr:deleteEOperationInEClass;0,016;rr:setEReferenceUnique;0,000;3,041;0;rr:deleteEOperationInEClass;2,776;rr:create_referenced_EClass;0,019;4244;rr:setEReferenceUnique;4244;rr:setEReferenceUnique;4244;17946;rr:setEReferenceUnique;17946;rr:setEReferenceUnique;17946;4244;17946;28;0;79;0;0;923;107;0;107;0;156;0;27;25;137;136;73;137;
gmfgen_1.143.ecore;1406;5889;gmfgen_1.144.ecore;1406;5889;-1;0,140;0,015;0;rr:deleteEOperationInEClass;0,015;rr:setEReferenceUnique;0,000;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;4215;rr:setEReferenceUnique;4215;rr:setEReferenceUnique;4215;17871;rr:setEReferenceUnique;17871;rr:setEReferenceUnique;17871;4215;17871;0;0;0;0;1;951;1;0;1;0;156;0;27;25;137;136;73;137;
gmfgen_1.144.ecore;1406;5889;gmfgen_1.145.ecore;1408;5899;-1;0,156;0,015;0;rr:deleteEOperationInEClass;0,015;rr:setEReferenceUnique;0,000;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;4220;rr:setEReferenceUnique;4220;rr:setEReferenceUnique;4220;17891;rr:setEReferenceUnique;17891;rr:setEReferenceUnique;17891;4220;17891;1;0;3;0;0;951;4;0;4;0;156;0;27;25;137;136;73;137;
gmfgen_1.145.ecore;1408;5899;gmfgen_1.146.ecore;1412;5912;-1;0,170;0,015;0;rr:deleteEOperationInEClass;0,015;rr:setEReferenceUnique;0,000;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;4232;rr:setEReferenceUnique;4232;rr:setEReferenceUnique;4232;17935;rr:setEReferenceUnique;17935;rr:setEReferenceUnique;17935;4232;17935;2;0;6;0;1;952;9;0;9;0;156;0;27;25;137;136;73;137;
gmfgen_1.146.ecore;1412;5912;gmfgen_1.147.ecore;1457;6118;-1;3,495;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;3,355;0;rr:deleteEOperationInEClass;2,715;rr:create_referenced_EClass;0,022;4376;rr:setEReferenceUnique;4376;rr:setEReferenceUnique;4376;18482;rr:setEReferenceUnique;18482;rr:setEReferenceUnique;18482;4376;18482;27;0;75;0;0;954;102;0;102;0;156;0;27;25;137;136;73;137;
gmfgen_1.147.ecore;1457;6118;gmfgen_1.148.ecore;1455;6108;-1;0,170;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;0;0;rr:deleteEOperationInEClass;0;rr:deleteEOperationInEClass;0;4347;rr:setEReferenceUnique;4347;rr:setEReferenceUnique;4347;18416;rr:setEReferenceUnique;18416;rr:setEReferenceUnique;18416;4347;18416;0;1;0;3;0;980;4;0;4;0;156;0;27;25;137;136;73;137;
