Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Low Level Changes In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count
String;Integer;Integer;String;Integer;Integer;Decimal;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer
139;1323;5457;140;1334;5535;0;0,156;0,187;0;rr:createEClass_IN_EPackage;0,016;rr:createEClassAsInterfaceInEPackage;0,014;0;0;rr:createEClassAsInterfaceInEPackage;0;rr:createEClassAsInterfaceInEPackage;0;1084;rr:unsetEReferenceRefEOppositeToEReference;2295;rr:createEAnnotation_IN_EModelElement;1390,403;3647;rr:unsetEReferenceRefEOppositeToEReference;13563;rr:createEAnnotation_IN_EModelElement;7419,972;3679;15494;8;0;17;0;0;899;25;25;0;13;13;163;11;0;28;0;0;0
140;1334;5535;141;1338;5611;0;0,203;0,202;0;rr:createEAttributeInEClass;0,031;rr:create_sub_EClass;0,014;0,016;0;rr:extractSuperEClass;0,016;rr:extractSubEClass;0,001;1093;rr:unsetEReferenceRefEOppositeToEReference;2303;rr:deleteEAnnotation_IN_EModelElement;1400,835;3653;rr:unsetEReferenceRefEOppositeToEReference;13685;rr:deleteEAnnotation_IN_EModelElement;7485,989;3678;15588;2;0;6;0;0;907;8;8;0;8;14;162;10;0;30;0;0;0
141;1338;5611;142;1357;5680;0;1,046;3,541;0;rr:setEOperation_eType_TO_EClassifier;0,156;rr:setEAttributeChangeable;0,054;0,171;0;rr:createEClassAsInterfaceInEPackage;0,047;rr:extractSuperEClass;0,003;1101;rr:unsetEReferenceRefEOppositeToEReference;2328;rr:createEAnnotation_IN_EModelElement;1411,222;3795;rr:unsetEReferenceRefEOppositeToEReference;13973;rr:moveEAnnotation_FROM_EModelElement_eAnnotations_TO_EModelElement_EModelElement;7675,631;3820;16185;14;0;38;11;11;909;74;74;0;53;66;110;18;7;98;69;14;55
142;1357;5680;143;1406;5889;0;0,266;0,423;0;rr:createEOperation_IN_EClass;0,032;rr:setEParameter_eType_TO_EClassifier;0,018;0,063;0;rr:createEClassAsInterfaceInEPackage;0,031;rr:create_referenced_EClass;0,003;1121;rr:unsetEReferenceRefEOppositeToEReference;2365;rr:deleteEAnnotation_IN_EModelElement;1445,386;3915;rr:unsetEReferenceRefEOppositeToEReference;14248;rr:deleteEAnnotation_IN_EModelElement;7883,199;3949;16668;28;0;79;0;0;923;107;107;0;67;23;153;22;0;66;0;0;0
143;1406;5889;144;1406;5889;0,016;0,047;0,031;0;rr:setEParameterLowerBound;0,016;rr:setEAttributeLowerBound;0,005;0;0;rr:setEParameterLowerBound;0;rr:setEParameterLowerBound;0;1155;rr:unsetEReferenceRefEOppositeToEReference;2421;rr:deleteEAnnotation_IN_EModelElement;1474,08;3854;rr:unsetEReferenceRefEOppositeToEReference;14328;rr:deleteEAnnotation_IN_EModelElement;7840,841;3843;16273;0;0;0;0;1;951;1;1;0;2;6;170;0;0;0;0;6;6
144;1406;5889;145;1408;5899;0,016;0,062;0,062;0;rr:setEOperation_eType_TO_EClassifier;0,016;rr:setEParameter_eType_TO_EClassifier;0,01;0;0;rr:setEOperation_eType_TO_EClassifier;0;rr:setEOperation_eType_TO_EClassifier;0;1155;rr:unsetEReferenceRefEOppositeToEReference;2422;rr:deleteEAnnotation_IN_EModelElement;1475,5;3858;rr:unsetEReferenceRefEOppositeToEReference;14340;rr:deleteEAnnotation_IN_EModelElement;7852,216;3852;16314;1;0;3;0;0;951;4;4;0;3;6;170;3;0;11;0;0;0
145;1408;5899;146;1412;5912;0;0,187;0,359;0;rr:setEAttributeName;0,032;rr:rename_eclass;0,014;0;0;rr:setEAttributeName;0;rr:setEAttributeName;0;1156;rr:unsetEReferenceRefEOppositeToEReference;2426;rr:deleteEAnnotation_IN_EModelElement;1477,494;3870;rr:unsetEReferenceRefEOppositeToEReference;14369;rr:deleteEAnnotation_IN_EModelElement;7870,619;3870;16378;2;0;6;0;1;952;9;9;0;7;26;150;3;0;10;0;20;20
146;1412;5912;147;1457;6118;0;0,375;0,469;0;rr:setEReference_eOpposite_TO_EReference;0,047;rr:extractEClass;0,02;0,219;0;rr:extractSuperEClass;0,172;rr:create_referenced_EClass;0,009;1164;rr:unsetEReferenceRefEOppositeToEReference;2465;rr:createEAnnotation_IN_EModelElement;1499,403;4081;rr:unsetEReferenceRefEOppositeToEReference;14760;rr:createEAnnotation_IN_EModelElement;8159,682;4103;17355;27;0;75;0;0;954;102;102;0;89;24;152;22;0;69;0;0;0
147;1457;6118;148;1455;6108;0;0,078;0,063;0;rr:setEOperation_eType_TO_EClassifier;0,016;rr:deleteEReferenceInEClass;0,011;0;0;rr:deleteEReferenceInEClass;0;rr:deleteEReferenceInEClass;0;1195;rr:unsetEReferenceRefEOppositeToEReference;2503;rr:deleteEAnnotation_IN_EModelElement;1527,369;3999;rr:unsetEReferenceRefEOppositeToEReference;14783;rr:deleteEAnnotation_IN_EModelElement;8103,335;3977;16833;0;1;0;3;0;980;4;4;0;1;6;170;0;3;0;11;0;0
