Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Low Level Changes In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count
String;Integer;Integer;String;Integer;Integer;Decimal;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer
139;1323;5457;140;1334;5535;N/A;0,187;0,015;0;rr:setEEnumLiteralName;0,015;rr:push_down_EOperation;0,000;0,132;0;rr:setEEnumLiteralName;0,108;rr:move_EAttribute_to_neighbour;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3679;15494;8;0;17;0;0;899;25;25;0;13;179;0;36;29;158;146;75;136;
140;1334;5535;141;1338;5611;N/A;0,190;0,015;0;rr:setEEnumLiteralName;0,015;rr:moveEStringToStringMapEntry_FROM_EAnnotation_details_TO_EAnnotation_EAnnotation;0,000;0,131;0;rr:setEEnumLiteralName;0,108;rr:move_EAttribute_to_neighbour;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3678;15588;2;0;6;0;0;907;8;8;0;8;179;0;36;29;158;146;75;136;
141;1338;5611;142;1357;5680;N/A;0,342;0,017;0;rr:setEEnumLiteralName;0,017;rr:moveEStringToStringMapEntry_FROM_EAnnotation_details_TO_EAnnotation_EAnnotation;0,000;0,278;0;rr:setEEnumLiteralName;0,112;rr:move_EAttribute_to_neighbour;0,002;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3820;16185;14;0;38;11;11;909;74;74;0;53;179;0;36;29;158;146;75;136;
142;1357;5680;143;1406;5889;N/A;1,719;0,016;0;rr:setEEnumLiteralName;0,016;rr:moveEStringToStringMapEntry_FROM_EAnnotation_details_TO_EAnnotation_EAnnotation;0,000;1,663;0;rr:setEEnumLiteralName;1,348;rr:create_referenced_EClass;0,009;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3951;16676;28;0;79;0;0;923;107;107;0;69;179;0;36;29;158;146;75;136;
143;1406;5889;144;1406;5889;N/A;0,174;0,015;0;rr:setEEnumLiteralName;0,015;rr:push_down_EOperation;0,000;0,124;0;rr:setEEnumLiteralName;0,108;rr:move_EAttribute_to_neighbour;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3843;16273;0;0;0;0;1;951;1;1;0;2;179;0;36;29;158;146;75;136;
144;1406;5889;145;1408;5899;N/A;0,185;0,016;0;rr:setEEnumLiteralName;0,016;rr:moveEStringToStringMapEntry_FROM_EAnnotation_details_TO_EAnnotation_EAnnotation;0,000;0,128;0;rr:setEEnumLiteralName;0,111;rr:move_EAttribute_to_neighbour;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3852;16314;1;0;3;0;0;951;4;4;0;3;179;0;36;29;158;146;75;136;
145;1408;5899;146;1412;5912;N/A;0,186;0,017;0;rr:setEEnumLiteralName;0,017;rr:moveEStringToStringMapEntry_FROM_EAnnotation_details_TO_EAnnotation_EAnnotation;0,000;0,129;0;rr:setEEnumLiteralName;0,109;rr:move_EAttribute_to_neighbour;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3870;16378;2;0;6;0;1;952;9;9;0;7;179;0;36;29;158;146;75;136;
146;1412;5912;147;1457;6118;N/A;1,698;0,017;0;rr:setEEnumLiteralName;0,017;rr:push_down_EOperation;0,000;1,633;0;rr:setEEnumLiteralName;1,335;rr:create_referenced_EClass;0,009;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4103;17355;27;0;75;0;0;954;102;102;0;89;179;0;36;29;158;146;75;136;
147;1457;6118;148;1455;6108;N/A;0,174;0,017;0;rr:setEEnumLiteralName;0,017;rr:push_down_EOperation;0,000;0,120;0;rr:setEEnumLiteralName;0,110;rr:move_EAttribute_to_neighbour;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3977;16833;0;1;0;3;0;980;4;4;0;1;179;0;36;29;158;146;75;136;
148;1455;6108;149;1463;6145;N/A;0,186;0,018;0;rr:setEEnumLiteralName;0,018;rr:push_down_EOperation;0,000;0,129;0;rr:setEEnumLiteralName;0,109;rr:move_EAttribute_to_neighbour;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4007;16946;4;0;12;0;0;980;16;16;0;11;179;0;36;29;158;146;75;136;
149;1463;6145;150;1479;6210;N/A;0,202;0,018;0;rr:setEEnumLiteralName;0,018;rr:moveEStringToStringMapEntry_FROM_EAnnotation_details_TO_EAnnotation_EAnnotation;0,000;0,140;0;rr:setEAttributeOrdered;0,103;rr:move_EAttribute_to_neighbour;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4076;17205;9;0;25;0;2;984;36;36;0;28;179;0;36;29;158;146;75;136;
