Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Low Level Changes In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count
String;Integer;Integer;String;Integer;Integer;Decimal;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer
139;1323;5457;140;1334;5535;N/A;2,603;24,514;0,007;rr:setEReferenceName;0,353;rr:setEAttributeDefaultValueLiteral;0,137;0,156;0;rr:setEEnumLiteralName;0,109;rr:move_EAttribute_to_neighbour;0,001;1084;rr:setEReference_eOpposite_TO_EReference;2295;rr:createEAnnotation_IN_EModelElement;1391,553;3647;rr:setEReference_eOpposite_TO_EReference;13563;rr:createEAnnotation_IN_EModelElement;7370,615;3679;15494;8;0;17;0;0;899;25;25;0;13;179;0;36;29;158;146;75;136;
140;1334;5535;141;1338;5611;N/A;2,558;23,943;0,012;rr:deleteETypeParameter_IN_EOperation;0,320;rr:changeEReferenceType;0,134;0,216;0;rr:setEEnumLiteralName;0,165;rr:move_EAttribute_to_neighbour;0,001;1093;rr:setEReference_eOpposite_TO_EReference;2303;rr:createEAnnotation_IN_EModelElement;1401,994;3653;rr:setEReference_eOpposite_TO_EReference;13685;rr:createEAnnotation_IN_EModelElement;7435,693;3678;15588;2;0;6;0;0;907;8;8;0;8;179;0;36;29;158;146;75;136;
141;1338;5611;142;1357;5680;N/A;2,745;24,779;0,005;rr:deleteEEnumLiteral_IN_EEnum;0,369;rr:rename_eattribute;0,138;0,206;0;rr:setEEnumLiteralName;0,109;rr:move_EAttribute_to_neighbour;0,001;1101;rr:setEReference_eOpposite_TO_EReference;2328;rr:createEAnnotation_IN_EModelElement;1412,341;3795;rr:setEReference_eOpposite_TO_EReference;13973;rr:moveEAnnotation_FROM_EModelElement_eAnnotations_TO_EModelElement_EModelElement;7624,520;3820;16185;14;0;38;11;11;909;74;74;0;53;179;0;36;29;158;146;75;136;
142;1357;5680;143;1406;5889;N/A;2,806;25,909;0,008;rr:setEReferenceVolatile;0,385;rr:pull_up_EAttribute;0,145;0,246;0;rr:setEEnumLiteralName;0,109;rr:move_EAttribute_to_neighbour;0,001;1121;rr:setEReference_eOpposite_TO_EReference;2365;rr:createEAnnotation_IN_EModelElement;1446,369;3917;rr:setEReference_eOpposite_TO_EReference;14250;rr:createEAnnotation_IN_EModelElement;7832,939;3951;16676;28;0;79;0;0;923;107;107;0;69;179;0;36;29;158;146;75;136;
143;1406;5889;144;1406;5889;N/A;2,857;26,306;0,013;rr:setEDataTypeSerializable;0,365;rr:createETypeParameter_IN_EClassifier;0,147;0,129;0;rr:setEEnumLiteralName;0,110;rr:move_EAttribute_to_neighbour;0,001;1155;rr:setEReference_eOpposite_TO_EReference;2421;rr:createEAnnotation_IN_EModelElement;1475,151;3854;rr:setEReference_eOpposite_TO_EReference;14328;rr:createEAnnotation_IN_EModelElement;7788,268;3843;16273;0;0;0;0;1;951;1;1;0;2;179;0;36;29;158;146;75;136;
144;1406;5889;145;1408;5899;N/A;2,687;25,523;0,011;rr:addToEAnnotation_references_EObject;0,340;rr:removeFromEAnnotation_references_EObject;0,143;0,137;0;rr:setEEnumLiteralName;0,106;rr:move_EAttribute_to_neighbour;0,001;1155;rr:setEReference_eOpposite_TO_EReference;2422;rr:createEAnnotation_IN_EModelElement;1476,547;3858;rr:setEReference_eOpposite_TO_EReference;14340;rr:createEAnnotation_IN_EModelElement;7799,520;3852;16314;1;0;3;0;0;951;4;4;0;3;179;0;36;29;158;146;75;136;
145;1408;5899;146;1412;5912;N/A;2,752;26,404;0,009;rr:setEReference_eOpposite_TO_EReference;0,331;rr:rename_EDataType;0,148;0,143;0;rr:setEEnumLiteralName;0,108;rr:move_EAttribute_to_neighbour;0,001;1156;rr:setEReference_eOpposite_TO_EReference;2426;rr:createEAnnotation_IN_EModelElement;1478,525;3870;rr:setEReference_eOpposite_TO_EReference;14369;rr:createEAnnotation_IN_EModelElement;7817,816;3870;16378;2;0;6;0;1;952;9;9;0;7;179;0;36;29;158;146;75;136;
146;1412;5912;147;1457;6118;N/A;2,973;26,705;0,006;rr:setEAttributeUnique;0,346;rr:deleteEDataType_IN_EPackage;0,149;0,431;0;rr:setEEnumLiteralName;0,164;rr:move_EAttribute_to_neighbour;0,002;1164;rr:setEReference_eOpposite_TO_EReference;2465;rr:createEAnnotation_IN_EModelElement;1500,251;4081;rr:setEReference_eOpposite_TO_EReference;14760;rr:createEAnnotation_IN_EModelElement;8105,670;4103;17355;27;0;75;0;0;954;102;102;0;89;179;0;36;29;158;146;75;136;
147;1457;6118;148;1455;6108;N/A;2,810;26,639;0,015;rr:setEOperationLowerBound;0,338;rr:changeEReferenceType;0,149;0,126;0;rr:setEEnumLiteralName;0,108;rr:move_EAttribute_to_neighbour;0,001;1195;rr:setEReference_eOpposite_TO_EReference;2503;rr:createEAnnotation_IN_EModelElement;1528,318;3999;rr:setEReference_eOpposite_TO_EReference;14783;rr:createEAnnotation_IN_EModelElement;8048,994;3977;16833;0;1;0;3;0;980;4;4;0;1;179;0;36;29;158;146;75;136;
148;1455;6108;149;1463;6145;N/A;2,808;27,026;0,006;rr:rename_EParameter;0,354;rr:moveETypeParameter_FROM_EClassifier_eTypeParameters_TO_EClassifier_EClassifier;0,151;0,143;0;rr:setEEnumLiteralName;0,107;rr:move_EAttribute_to_neighbour;0,001;1194;rr:setEReference_eOpposite_TO_EReference;2506;rr:createEAnnotation_IN_EModelElement;1530,994;4017;rr:setEReference_eOpposite_TO_EReference;14826;rr:createEAnnotation_IN_EModelElement;8084,939;4007;16946;4;0;12;0;0;980;16;16;0;11;179;0;36;29;158;146;75;136;
