Model A :: String;Model A: Object Count :: Size;Model A: Reference Count :: Size;Model B :: String;Model B: Object Count :: Size;Model B: Reference Count :: Size;Rule Set Reduction :: Time;Execution: Create Graphs + Execute Recognition Rules :: Time;Create Graph :: Split Time :: Time;Create Graph :: Split Time :: Minimum;Create Graph :: Split Time :: Minimum Info;Create Graph :: Split Time :: Maximum;Create Graph :: Split Time :: Maximum Info;Create Graph :: Split Time :: Average;Matching: Recognition Rule :: Split Time :: Time;Matching: Recognition Rule :: Split Time :: Minimum;Matching: Recognition Rule :: Split Time :: Minimum Info;Matching: Recognition Rule :: Split Time :: Maximum;Matching: Recognition Rule :: Split Time :: Maximum Info;Matching: Recognition Rule :: Split Time :: Average;Graph: Nodes :: Minimum;Graph: Nodes :: Minimum Info;Graph: Nodes :: Maximum;Graph: Nodes :: Maximum Info;Graph: Nodes :: Average;Graph: Edges :: Minimum;Graph: Edges :: Minimum Info;Graph: Edges :: Maximum;Graph: Edges :: Maximum Info;Graph: Edges :: Average;Full Graph: Nodes :: Size;Full Graph: Edges :: Size;Difference: Add Object :: Size;Difference: Remove Object :: Size;Difference: Add Reference :: Size;Difference: Remove Reference :: Size;Difference: Attribute Value Changes :: Size;Difference: Correspondences :: Size;Difference: Low Level Changes :: Size;Difference: Low Level Changes In SCS :: Size;Difference: Low Level Changes Not In SCS :: Size;Difference: Semantic Change Sets :: Size;RR: Applied :: Size;RR: Filtered :: Size;RR: Add Object :: Count;RR: Remove Object :: Count;RR: Add Reference :: Count;RR: Remove Reference :: Count;RR: Attribute Value Changes :: Count;RR: Correspondences :: Count
String;Integer;Integer;String;Integer;Integer;Decimal;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Decimal;String;Decimal;String;Decimal;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer;Integer
139;1323;5457;140;1334;5535;0;0,069;0,031;0;rr:createEAnnotation_IN_EModelElement;0,016;rr:createEStringToStringMapEntry_IN_EAnnotation;0,002;0,033;0;rr:setEOperation_eType_TO_EClassifier;0,013;rr:createEAttributeAsiDInEClass;0,003;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3679;15494;8;0;17;0;0;899;25;25;0;13;13;166;11;0;28;0;0;0;
140;1334;5535;141;1338;5611;0;0,074;0,032;0;rr:extractSuperEClass;0,016;rr:addToEClass_eSuperTypes_EClass;0,002;0,032;0;rr:extractSuperEClass;0,014;rr:createEAttributeAsiDInEClass;0,002;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3678;15588;2;0;6;0;0;907;8;8;0;8;14;165;10;0;30;0;0;0;
141;1338;5611;142;1357;5680;0;0,241;0,129;0;rr:create_super_EClass;0,023;rr:extractSuperEClass;0,002;0,331;0;rr:moveOppositeReference;0,108;rr:move_EAttribute_to_neighbour;0,005;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3820;16185;14;0;38;11;11;909;74;74;0;53;66;113;18;7;98;69;14;55;
142;1357;5680;143;1406;5889;0;1,529;0,052;0;rr:createEEnum_IN_EPackage;0,018;rr:createEParameterInEOperation;0,002;1,609;0;rr:setEReference_eOpposite_TO_EReference;1,368;rr:create_referenced_EClass;0,070;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3949;16668;28;0;79;0;0;923;107;107;0;67;23;156;22;0;66;0;0;0;
143;1406;5889;144;1406;5889;0,001;0,053;0,017;0;rr:generalizeEReferenceLowerBound;0,017;rr:setEAttributeLowerBound;0,003;0,002;0;rr:setEAttributeLowerBound;0,001;rr:generalizeEReferenceLowerBound;0,000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3843;16273;0;0;0;0;1;951;1;1;0;2;6;173;0;0;0;0;6;6;
144;1406;5889;145;1408;5899;0;0,063;0,018;0;rr:setEParameter_eType_TO_EClassifier;0,018;rr:setEAttribute_eType_TO_EClassifier;0,003;0,008;0;rr:setEParameter_eType_TO_EClassifier;0,007;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3852;16314;1;0;3;0;0;951;4;4;0;3;6;173;3;0;11;0;0;0;
145;1408;5899;146;1412;5912;0;0,069;0,048;0;rr:setEEnumLiteralName;0,016;rr:setEReferenceName;0,002;0,020;0;rr:setEEnumLiteralName;0,007;rr:createEParameterInEOperation;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3870;16378;2;0;6;0;1;952;9;9;0;7;26;153;3;0;10;0;20;20;
146;1412;5912;147;1457;6118;0,001;1,488;0,048;0;rr:createEStringToStringMapEntry_IN_EAnnotation;0,016;rr:createBidirectionalReference;0,002;1,533;0;rr:setEReference_eOpposite_TO_EReference;1,335;rr:create_referenced_EClass;0,064;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4103;17355;27;0;75;0;0;954;102;102;0;89;24;155;22;0;69;0;0;0;
147;1457;6118;148;1455;6108;0;0,056;0,017;0;rr:setEOperation_eType_TO_EClassifier;0,017;rr:deleteEAttributeInEClass;0,003;0;0;rr:setEOperation_eType_TO_EClassifier;0;rr:setEOperation_eType_TO_EClassifier;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3977;16833;0;1;0;3;0;980;4;4;0;1;6;173;0;3;0;11;0;0;
148;1455;6108;149;1463;6145;0;0,061;0,017;0;rr:createEOperation_IN_EClass;0,017;rr:setEAttribute_eType_TO_EClassifier;0,002;0,009;0;rr:createEOperation_IN_EClass;0,006;rr:createEAttributeInEClass;0,001;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4007;16946;4;0;12;0;0;980;16;16;0;11;7;172;4;0;13;0;0;0;
